id,source_id,split,label,mentions_prize_reward_gift,claims_winner_or_selected,impersonates_official_entity,uses_promotional_or_marketing_claim,mentions_money_payment,mentions_free_offer,mentions_discount_or_rate,mentions_financial_gain_or_cost,creates_urgency,uses_deadline_or_expiry,threatens_loss_or_penalty,contains_all_caps_or_exclamation_emphasis,asks_click_link,asks_user_reply_or_call,requests_personal_information,requests_immediate_action,normal_personal_conversation,mentions_meeting_family_friends,uses_casual_emotional_language,refers_previous_conversation
sms_spam_00013,4205,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00016,4800,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00014,3098,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00017,247,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sms_spam_00020,3535,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00022,2241,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00021,4332,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00018,1436,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00019,3457,train,ham,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
sms_spam_00023,3806,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00025,5530,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00024,1177,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00026,2171,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00027,40,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00028,2008,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sms_spam_00029,3269,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00033,4940,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00032,5084,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00030,1138,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00031,3828,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00034,2843,train,ham,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
sms_spam_00035,4059,train,spam,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sms_spam_00037,4850,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00038,3259,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00036,1232,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
sms_spam_00040,858,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00039,5142,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
sms_spam_00041,5426,train,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
sms_spam_00043,5448,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00042,3058,test,ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00044,3973,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00045,3922,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00046,5022,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00047,4340,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00049,660,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00048,647,train,spam,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
sms_spam_00051,3937,test,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sms_spam_00050,452,test,ham,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
sms_spam_00053,3766,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00052,2012,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00055,2796,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00054,2268,train,spam,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
sms_spam_00056,4180,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00057,5130,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00058,3304,train,ham,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
sms_spam_00059,2895,train,spam,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
sms_spam_00060,32,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00061,2305,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00063,4993,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sms_spam_00064,3394,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00062,5077,train,spam,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00065,4324,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00067,1270,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00066,1744,train,spam,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00068,1961,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00069,2621,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00071,466,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00070,716,train,spam,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0
sms_spam_00075,2738,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sms_spam_00072,5124,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00074,4667,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00073,5074,train,spam,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
sms_spam_00077,4286,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00076,739,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00079,2298,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00081,2072,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00080,1746,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00078,383,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00082,3510,test,ham,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00083,2179,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00086,194,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00087,4952,train,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
sms_spam_00085,2395,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00084,4794,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00089,2542,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00088,179,train,ham,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
sms_spam_00090,3555,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00092,1934,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00091,3388,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00093,4576,train,spam,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
sms_spam_00094,4941,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00095,567,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00096,274,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00097,3958,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00098,979,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00099,2120,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00100,2961,train,ham,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
sms_spam_00101,18,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00102,3090,train,spam,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
sms_spam_00103,4899,train,spam,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
sms_spam_00105,4574,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00104,2732,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00107,4989,train,spam,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00106,378,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00109,5200,train,spam,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
sms_spam_00110,3067,test,ham,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
sms_spam_00108,4458,train,spam,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00111,4485,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00112,1530,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00116,1683,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00113,3412,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sms_spam_00114,5557,train,ham,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00115,51,train,ham,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sms_spam_00117,3699,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00118,904,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00119,2431,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00120,534,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00121,4992,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00122,2349,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00123,4616,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00124,755,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00125,975,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00127,1474,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00126,3872,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00128,17,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00129,4808,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00130,3209,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00131,2113,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00133,365,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00132,4894,train,spam,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0
sms_spam_00134,1982,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00135,5568,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00136,4973,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00137,1852,train,spam,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
sms_spam_00138,1839,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00139,3020,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00140,462,train,spam,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
sms_spam_00141,2367,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00142,3036,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00143,140,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00145,4509,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00146,2280,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00144,1331,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
sms_spam_00147,5511,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00148,4430,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00149,1509,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00150,5431,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00152,2975,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00151,5218,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00153,3354,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sms_spam_00154,282,test,ham,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00155,2756,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00156,833,test,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
sms_spam_00158,1344,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00157,2814,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00159,4255,train,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
sms_spam_00160,3550,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00161,96,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00162,2070,train,spam,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
sms_spam_00163,3371,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00164,3928,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00165,3242,train,ham,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
sms_spam_00166,1272,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00167,2630,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00168,2745,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00169,1240,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00170,4150,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00171,1156,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00172,934,train,spam,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00173,258,test,spam,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
sms_spam_00175,2201,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00174,1886,test,spam,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
sms_spam_00176,4656,train,spam,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
sms_spam_00177,3308,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00179,1614,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00178,3727,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00180,298,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
sms_spam_00181,2949,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00182,2691,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00183,3981,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00184,1394,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00185,3189,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00186,3272,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00187,639,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sms_spam_00188,2640,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
sms_spam_00189,1218,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00191,2314,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00190,3970,train,spam,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
sms_spam_00192,2719,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00193,3069,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00194,2312,train,spam,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sms_spam_00195,5337,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00197,2090,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00196,1088,train,spam,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sms_spam_00199,456,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00198,4239,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
sms_spam_00200,5268,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sms_spam_00201,3301,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00202,4679,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
sms_spam_00203,5024,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00204,106,train,ham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00205,2220,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00206,501,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00207,3841,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00208,4218,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00209,3250,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00210,1813,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00211,2329,train,ham,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00212,2225,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00213,4462,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00214,835,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00215,3091,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00216,3514,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sms_spam_00217,1884,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00218,4333,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00219,4671,train,spam,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
sms_spam_00220,608,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00221,2855,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sms_spam_00222,3212,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
sms_spam_00223,1311,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00224,1038,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00225,2342,train,spam,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
sms_spam_00227,1427,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00226,3319,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00229,798,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00228,2237,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
sms_spam_00230,5021,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00231,5070,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00233,4226,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sms_spam_00232,14,train,ham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
sms_spam_00235,4705,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00234,2338,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
sms_spam_00236,121,test,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
sms_spam_00237,3356,train,ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
