id,source_id,split,label,mentions_disaster_type,reports_event_occurrence,describes_threat_or_danger,mentions_cause_or_trigger,mentions_location,mentions_time_or_recency,includes_source_or_report,first_person_witnessing,mentions_casualties_or_injuries,mentions_property_damage,mentions_infrastructure_disruption,mentions_scale_or_intensity,calls_for_help,mentions_rescue_or_emergency_services,mentions_evacuation_or_shelter,gives_safety_instruction,uses_metaphor_or_idiom,refers_to_entertainment_or_sports,expresses_joke_or_sarcasm,discusses_non_event_context
disaster_00041,4523,train,real disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
disaster_00036,5362,train,real disaster,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
disaster_00042,9313,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00043,3115,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00040,3448,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00045,4240,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00044,10223,test,real disaster,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
disaster_00046,5555,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00047,6141,train,not disaster,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00048,9612,train,real disaster,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00051,9293,train,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00050,1174,train,real disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00049,10352,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00052,6197,train,real disaster,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00054,5577,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00053,2725,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00057,829,train,real disaster,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00055,7044,train,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00060,2865,train,not disaster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00058,6277,train,real disaster,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00062,1249,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00056,1488,train,not disaster,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00059,6404,train,not disaster,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00061,2955,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00066,3543,test,real disaster,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00064,1061,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00065,9278,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00063,1487,train,not disaster,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00067,9617,train,real disaster,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00072,4785,train,real disaster,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
disaster_00071,3001,test,not disaster,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
disaster_00070,7478,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00069,9431,train,real disaster,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00068,956,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
disaster_00074,2423,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00073,5322,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
disaster_00075,6769,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00078,6065,train,real disaster,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00077,1878,train,not disaster,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
disaster_00079,5037,train,real disaster,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00080,4057,train,real disaster,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
disaster_00081,8699,test,not disaster,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
disaster_00076,5935,train,not disaster,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00082,5409,test,real disaster,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
disaster_00083,4619,train,not disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00085,7071,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00084,3786,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
disaster_00086,4464,train,real disaster,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
disaster_00087,7350,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00088,6848,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00089,853,train,not disaster,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
disaster_00092,6133,test,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00091,5243,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
disaster_00090,7780,train,real disaster,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
disaster_00093,6746,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00094,9531,train,real disaster,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00095,9408,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00098,8189,train,real disaster,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
disaster_00099,10744,train,real disaster,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
disaster_00096,5834,test,real disaster,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
disaster_00100,2306,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00101,6376,test,real disaster,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00102,6453,train,real disaster,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
disaster_00097,3741,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00103,496,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00105,2605,train,real disaster,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00107,2857,test,real disaster,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
disaster_00104,1388,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00106,10215,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
disaster_00108,8444,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00109,1301,train,not disaster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00111,6349,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00112,3259,train,not disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00110,2655,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00114,9174,train,real disaster,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00116,7188,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
disaster_00115,1094,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00113,5588,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00117,7938,train,not disaster,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
disaster_00118,5600,train,real disaster,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
disaster_00119,5843,train,not disaster,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00121,1090,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00120,4406,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00123,4442,train,not disaster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
disaster_00122,6783,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00125,2238,train,real disaster,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
disaster_00124,609,test,not disaster,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
disaster_00128,867,train,real disaster,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00126,4753,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
disaster_00130,6002,train,not disaster,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
disaster_00127,371,test,not disaster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00131,7433,train,not disaster,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
disaster_00129,9942,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00132,10426,train,real disaster,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00136,3775,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00134,281,train,not disaster,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
disaster_00135,4744,train,not disaster,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
disaster_00137,5617,train,real disaster,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
disaster_00138,6053,test,real disaster,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
disaster_00133,536,train,not disaster,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00140,2047,test,real disaster,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00141,5672,train,real disaster,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00143,7319,test,real disaster,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00144,2275,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00139,6315,train,real disaster,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
disaster_00145,782,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00142,4018,train,not disaster,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00148,1302,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00147,3464,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00149,8555,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00146,7552,train,real disaster,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
disaster_00150,2592,test,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00152,5719,test,real disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
disaster_00153,6305,train,not disaster,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
disaster_00151,2429,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00155,2210,test,not disaster,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00154,356,test,real disaster,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00156,2176,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00159,1208,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00158,8187,test,real disaster,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
disaster_00157,8289,test,real disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
disaster_00161,1866,train,not disaster,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
disaster_00160,7032,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00162,7800,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00164,1582,train,real disaster,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00163,4051,train,real disaster,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
disaster_00165,3670,train,not disaster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00166,7047,train,not disaster,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
disaster_00168,4657,train,real disaster,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
disaster_00169,4191,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00167,3423,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00173,1798,train,not disaster,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
disaster_00170,2220,train,not disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00172,5683,train,real disaster,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00171,10381,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00175,5064,train,real disaster,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
disaster_00174,2069,train,real disaster,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
disaster_00177,10525,train,real disaster,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
disaster_00178,2849,train,real disaster,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
disaster_00176,6729,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00181,9382,train,real disaster,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00179,9632,train,not disaster,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00180,2501,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00182,7818,train,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00184,10837,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00183,3705,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
disaster_00186,10258,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00185,10379,train,not disaster,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00189,1474,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00188,1394,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00190,1951,test,not disaster,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
disaster_00191,5038,train,not disaster,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00195,5345,train,real disaster,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00192,3185,test,not disaster,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00193,6950,train,real disaster,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00194,3853,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00198,7873,test,real disaster,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
disaster_00197,5149,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00187,2352,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00199,10098,test,real disaster,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00200,6552,test,real disaster,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00201,1637,test,real disaster,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00196,5794,train,not disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
disaster_00203,5999,train,real disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00202,2368,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
disaster_00206,3494,train,real disaster,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00207,2588,train,real disaster,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00205,10010,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00204,7542,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
disaster_00209,5569,train,real disaster,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
disaster_00208,1864,train,not disaster,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
disaster_00212,2908,train,not disaster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00211,4758,train,real disaster,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
disaster_00210,7659,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
disaster_00214,6683,train,real disaster,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
disaster_00213,543,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
disaster_00216,3277,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00215,2457,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00217,4677,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00218,1701,train,real disaster,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
disaster_00219,1380,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00221,1128,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00222,9031,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00220,10665,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00225,316,train,not disaster,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00223,1979,train,real disaster,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00226,4492,train,not disaster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00224,8538,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00227,5274,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00228,215,train,not disaster,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
disaster_00230,4802,train,real disaster,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
disaster_00229,4630,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
disaster_00231,5284,train,not disaster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00233,3593,train,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
disaster_00232,4846,train,real disaster,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
disaster_00234,10396,test,real disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00236,3585,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00235,7428,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
