id,source_id,split,label
ade_00174,train_6034,train,non_ade
ade_00175,train_11347,test,non_ade
ade_00176,train_14783,train,non_ade
ade_00177,test_5751,train,non_ade
ade_00178,test_1679,train,non_ade
ade_00179,train_7,train,non_ade
ade_00180,train_9614,train,non_ade
ade_00181,test_102,train,ade
ade_00182,train_1410,train,non_ade
ade_00183,train_16299,test,non_ade
ade_00184,test_1361,train,ade
ade_00185,train_14566,train,non_ade
ade_00186,train_7643,train,ade
ade_00187,test_5001,train,non_ade
ade_00188,train_6218,train,non_ade
ade_00189,train_8049,train,non_ade
ade_00190,test_386,train,ade
ade_00191,train_4717,train,non_ade
ade_00192,train_1151,test,non_ade
ade_00193,train_9270,train,non_ade
ade_00194,test_659,train,non_ade
ade_00195,train_2596,train,ade
ade_00196,train_1537,train,non_ade
ade_00197,train_12083,train,non_ade
ade_00198,train_1546,test,non_ade
ade_00199,test_4620,train,non_ade
ade_00200,train_3587,train,non_ade
ade_00201,train_1466,train,non_ade
ade_00202,test_473,test,non_ade
ade_00203,train_5847,test,non_ade
ade_00204,train_9528,train,ade
ade_00205,test_3820,train,non_ade
ade_00206,train_15313,train,non_ade
ade_00207,test_2929,test,non_ade
ade_00208,train_16588,train,ade
ade_00209,train_9196,test,non_ade
ade_00210,train_2074,train,non_ade
ade_00211,test_1827,test,non_ade
ade_00212,train_10570,train,non_ade
ade_00213,train_5447,train,non_ade
ade_00214,train_17446,train,non_ade
ade_00215,test_2548,train,ade
ade_00216,train_7786,train,non_ade
ade_00217,train_10749,train,non_ade
ade_00218,train_4051,train,ade
ade_00219,test_1982,train,ade
ade_00220,train_989,test,ade
ade_00221,train_11150,train,non_ade
ade_00222,train_6485,train,non_ade
ade_00223,train_16884,train,non_ade
ade_00224,train_11054,train,non_ade
ade_00225,train_17354,train,non_ade
ade_00226,train_10383,train,non_ade
ade_00227,train_3567,train,ade
ade_00228,train_10935,train,non_ade
ade_00229,test_2737,test,non_ade
ade_00230,train_12283,train,non_ade
ade_00231,train_9457,train,non_ade
ade_00232,test_3438,train,non_ade
ade_00233,train_1765,train,ade
ade_00234,train_17297,train,non_ade
ade_00235,test_5878,train,ade
ade_00236,train_13469,train,non_ade
ade_00237,test_4846,train,ade
ade_00238,train_13897,train,non_ade
ade_00239,train_8099,test,non_ade
ade_00240,train_9063,train,non_ade
ade_00241,train_15456,train,non_ade
ade_00242,train_8816,train,non_ade
ade_00243,train_16361,train,non_ade
ade_00244,test_3817,train,non_ade
ade_00245,train_327,train,non_ade
ade_00246,train_14945,train,non_ade
ade_00247,train_3364,train,non_ade
ade_00248,test_3636,train,non_ade
ade_00249,test_5385,train,non_ade
ade_00250,train_1969,train,non_ade
ade_00251,train_5247,test,ade
ade_00252,train_12254,test,ade
ade_00253,train_13061,test,ade
ade_00254,test_180,test,non_ade
ade_00255,test_5422,train,non_ade
ade_00256,train_3843,test,non_ade
ade_00257,train_13039,train,non_ade
ade_00258,train_11202,train,non_ade
ade_00259,train_11239,train,non_ade
ade_00260,train_5198,test,ade
ade_00261,train_17149,train,non_ade
ade_00262,train_8171,train,non_ade
ade_00263,train_156,train,non_ade
ade_00264,train_12090,test,non_ade
ade_00265,train_1761,train,ade
ade_00266,train_14570,train,non_ade
ade_00267,train_10007,train,non_ade
ade_00268,test_3490,train,ade
ade_00269,train_2047,train,non_ade
ade_00270,train_15043,train,non_ade
ade_00271,train_8982,train,non_ade
ade_00272,test_202,train,non_ade
ade_00273,train_8229,train,non_ade
ade_00274,test_2450,train,non_ade
ade_00275,test_3052,train,non_ade
ade_00276,train_7433,test,non_ade
ade_00277,train_9425,train,non_ade
ade_00278,train_3264,test,non_ade
ade_00279,train_1762,train,non_ade
ade_00280,test_2024,train,non_ade
ade_00281,train_4531,train,non_ade
ade_00282,train_8873,train,ade
ade_00283,train_15941,train,non_ade
ade_00284,test_1922,test,ade
ade_00285,train_10293,train,non_ade
ade_00286,train_14061,train,non_ade
ade_00287,train_6561,train,non_ade
ade_00288,test_52,train,non_ade
ade_00289,test_4553,train,non_ade
ade_00290,train_16035,train,ade
ade_00291,train_3643,test,non_ade
ade_00292,train_1623,train,ade
ade_00293,train_3524,train,non_ade
ade_00294,train_7813,train,non_ade
ade_00295,train_4727,train,non_ade
ade_00296,train_6272,train,non_ade
ade_00297,train_6781,train,non_ade
ade_00298,test_4616,train,non_ade
ade_00299,test_5604,train,non_ade
ade_00300,test_4586,train,non_ade
ade_00301,train_15284,train,ade
ade_00302,train_9761,train,non_ade
ade_00303,train_4110,train,ade
ade_00304,train_4278,train,non_ade
ade_00305,train_1678,train,non_ade
ade_00306,test_5838,train,non_ade
ade_00307,train_3144,train,non_ade
ade_00308,test_5445,train,non_ade
ade_00309,train_11334,test,non_ade
ade_00310,train_14352,train,non_ade
ade_00311,test_1031,train,non_ade
ade_00312,train_11551,test,non_ade
ade_00313,train_12989,test,non_ade
ade_00314,train_5012,test,non_ade
ade_00315,test_847,train,ade
ade_00316,train_6577,train,non_ade
ade_00317,train_2398,train,non_ade
ade_00318,train_15701,train,ade
ade_00319,train_14823,train,non_ade
ade_00320,test_2889,train,non_ade
ade_00321,train_12137,train,non_ade
ade_00322,train_10737,test,ade
ade_00323,train_2677,train,non_ade
ade_00324,train_10999,train,non_ade
ade_00325,train_535,test,non_ade
ade_00326,train_2249,train,ade
ade_00327,train_4492,train,non_ade
ade_00328,train_154,test,non_ade
ade_00329,train_6136,test,non_ade
ade_00330,train_9885,test,ade
ade_00331,train_16690,train,non_ade
ade_00332,train_4671,train,ade
ade_00333,train_702,train,non_ade
ade_00334,test_5117,test,non_ade
ade_00335,test_2135,train,non_ade
ade_00336,train_12800,train,non_ade
ade_00337,train_13924,train,non_ade
ade_00338,train_8806,train,non_ade
ade_00339,test_3129,train,ade
ade_00340,test_3387,test,non_ade
ade_00341,test_3075,train,non_ade
ade_00342,test_3110,test,non_ade
ade_00343,train_9553,train,non_ade
ade_00344,train_17042,train,non_ade
ade_00345,test_5144,train,non_ade
ade_00346,train_7840,train,non_ade
ade_00347,test_5661,train,non_ade
ade_00348,test_5666,train,non_ade
ade_00349,train_3334,train,non_ade
ade_00350,train_15402,test,non_ade
ade_00351,train_12667,train,non_ade
ade_00352,test_2931,train,non_ade
ade_00353,train_13117,train,non_ade
ade_00354,train_765,train,non_ade
ade_00355,train_10718,train,non_ade
ade_00356,train_8736,train,non_ade
ade_00357,train_17488,train,non_ade
ade_00358,train_2465,train,non_ade
ade_00359,train_15969,test,non_ade
ade_00360,train_2432,train,non_ade
ade_00361,train_5264,train,ade
ade_00362,train_4304,train,ade
ade_00363,train_3268,train,non_ade
ade_00364,train_12664,train,non_ade
ade_00365,train_8754,train,non_ade
ade_00366,test_750,test,non_ade
ade_00367,test_2785,train,non_ade
ade_00368,train_6112,train,ade
ade_00369,train_8642,train,ade
ade_00370,train_6550,test,non_ade
ade_00371,train_10633,train,non_ade
ade_00372,train_4093,test,non_ade
ade_00373,train_1195,train,non_ade
ade_00374,test_955,train,non_ade
ade_00375,train_11089,train,non_ade
ade_00376,test_2293,test,ade
ade_00377,train_9495,train,ade
ade_00378,train_9993,train,non_ade
ade_00379,train_9339,train,non_ade
ade_00380,train_2806,train,non_ade
ade_00381,train_1001,test,non_ade
ade_00382,train_15846,train,non_ade
ade_00383,train_17495,test,non_ade
ade_00384,test_5607,test,non_ade
ade_00385,train_8801,test,ade
ade_00386,train_628,train,ade
ade_00387,train_15066,train,non_ade
ade_00388,train_448,test,non_ade
ade_00389,test_3433,train,non_ade
ade_00390,test_5528,train,non_ade
ade_00391,train_1836,train,non_ade
ade_00392,test_4885,train,non_ade
ade_00393,test_331,test,non_ade
ade_00394,train_6551,train,non_ade
ade_00395,test_738,train,non_ade
ade_00396,train_10485,train,non_ade
ade_00397,test_4481,test,non_ade
ade_00398,test_749,train,non_ade
ade_00399,test_3012,train,non_ade
ade_00400,train_10963,train,non_ade
ade_00401,test_1540,train,ade
ade_00402,test_5145,train,non_ade
ade_00403,train_6289,train,non_ade
ade_00404,train_12477,train,non_ade
ade_00405,train_14490,train,non_ade
ade_00406,test_3795,train,ade
ade_00407,train_2743,train,ade
ade_00408,train_3793,train,non_ade
ade_00409,test_2088,test,non_ade
ade_00410,train_7179,train,non_ade
ade_00411,test_839,train,non_ade
ade_00412,test_2715,train,non_ade
ade_00413,train_15921,test,non_ade
ade_00414,train_4291,train,non_ade
ade_00415,test_2798,test,ade
ade_00416,train_7489,train,non_ade
ade_00417,train_11218,train,non_ade
ade_00418,train_2528,test,non_ade
ade_00419,train_7097,train,non_ade
ade_00420,train_5529,train,non_ade
ade_00421,train_2306,train,ade
ade_00422,train_14324,train,non_ade
ade_00423,train_2946,test,non_ade
ade_00424,train_8707,test,non_ade
ade_00425,train_7957,train,ade
ade_00426,train_10220,train,non_ade
ade_00427,train_11827,train,non_ade
ade_00428,train_12044,train,non_ade
ade_00429,train_8249,train,ade
ade_00430,train_5655,train,non_ade
ade_00431,test_5227,test,non_ade
ade_00432,train_7370,test,ade
ade_00433,train_15310,train,non_ade
ade_00434,train_2827,train,non_ade
ade_00435,train_600,train,non_ade
ade_00436,train_4033,train,non_ade
ade_00437,test_4538,test,non_ade
ade_00438,train_4036,train,non_ade
ade_00439,train_14786,test,non_ade
ade_00440,train_2926,train,non_ade
ade_00441,train_3560,test,ade
ade_00442,train_10870,train,non_ade
ade_00443,train_15584,train,non_ade
ade_00444,test_3321,train,ade
ade_00445,train_7726,train,ade
ade_00446,train_7757,train,non_ade
ade_00447,test_1772,train,non_ade
ade_00448,train_4747,train,non_ade
ade_00449,train_13696,train,ade
ade_00450,test_5207,test,non_ade
ade_00451,train_12592,train,non_ade
ade_00452,test_4972,train,non_ade
ade_00453,test_345,train,non_ade
ade_00454,train_10152,train,ade
ade_00455,train_8739,train,non_ade
ade_00456,train_1782,train,ade
ade_00457,train_1329,train,non_ade
ade_00458,train_11510,train,non_ade
ade_00459,test_3084,train,non_ade
ade_00460,train_13823,train,non_ade
ade_00461,train_15018,train,non_ade
ade_00462,train_7164,train,non_ade
ade_00463,train_13623,train,non_ade
ade_00464,train_5082,test,ade
ade_00465,train_1660,train,non_ade
ade_00466,train_4984,train,non_ade
ade_00467,train_883,train,ade
ade_00468,train_2294,train,non_ade
ade_00469,train_3723,train,ade
ade_00470,train_11473,train,non_ade
ade_00471,train_8649,train,ade
ade_00472,train_1722,train,non_ade
ade_00473,train_13403,train,ade
ade_00474,train_4759,test,non_ade
ade_00475,train_13869,train,non_ade
ade_00476,train_11077,train,ade
ade_00477,train_16782,train,non_ade
ade_00478,train_15838,train,non_ade
ade_00479,train_1909,train,non_ade
ade_00480,test_5483,train,non_ade
ade_00481,train_16309,train,ade
ade_00482,train_3687,train,non_ade
ade_00483,test_289,train,non_ade
ade_00484,train_11598,test,non_ade
ade_00485,test_3573,train,non_ade
ade_00486,train_1367,test,non_ade
ade_00487,train_12166,test,non_ade
ade_00488,train_8800,test,non_ade
ade_00489,train_9718,train,non_ade
ade_00490,test_1395,train,non_ade
ade_00491,train_16402,train,ade
ade_00492,train_13789,test,non_ade
ade_00493,test_4799,test,non_ade
ade_00494,test_42,train,non_ade
ade_00495,train_2209,train,ade
ade_00496,train_5467,train,non_ade
ade_00497,test_3290,train,ade
ade_00498,train_3358,train,non_ade
ade_00499,train_6487,test,non_ade
ade_00500,train_832,train,non_ade
ade_00501,train_1114,train,ade
ade_00502,train_14692,train,non_ade
ade_00503,test_1802,train,non_ade
ade_00504,train_6433,train,non_ade
ade_00505,test_4171,train,non_ade
ade_00506,train_3411,train,ade
ade_00507,train_17319,train,non_ade
ade_00508,train_4309,train,non_ade
ade_00509,train_7047,test,non_ade
ade_00510,train_2253,train,ade
ade_00511,train_10913,train,non_ade
ade_00512,train_6470,train,ade
ade_00513,train_11980,train,ade
ade_00514,test_2743,test,non_ade
ade_00515,train_3985,train,ade
ade_00516,train_2506,train,ade
ade_00517,train_4960,train,non_ade
ade_00518,train_10461,train,ade
ade_00519,train_12750,train,ade
ade_00520,train_10146,train,ade
ade_00521,train_16846,test,non_ade
ade_00522,train_3760,train,non_ade
ade_00523,train_5603,test,non_ade
ade_00524,train_7111,train,non_ade
ade_00525,test_5576,train,non_ade
ade_00526,test_3101,train,non_ade
ade_00527,train_11972,train,non_ade
ade_00528,train_13934,test,non_ade
ade_00529,test_1467,train,non_ade
ade_00530,train_15270,train,non_ade
ade_00531,train_11243,train,ade
ade_00532,train_16413,train,non_ade
ade_00533,train_13668,train,non_ade
ade_00534,train_13969,train,non_ade
ade_00535,train_10632,train,non_ade
ade_00536,train_8521,test,non_ade
ade_00537,train_8793,test,non_ade
ade_00538,train_14187,train,non_ade
ade_00539,test_2621,test,non_ade
ade_00540,train_5920,train,non_ade
ade_00541,test_2769,train,non_ade
ade_00542,train_7446,train,ade
ade_00543,train_6769,train,non_ade
ade_00544,train_3169,train,ade
ade_00545,train_1707,train,ade
ade_00546,train_11127,train,ade
ade_00547,train_13779,train,non_ade
ade_00548,test_3850,test,non_ade
ade_00549,train_3895,train,non_ade
ade_00550,test_3216,train,non_ade
ade_00551,train_15581,train,non_ade
ade_00552,test_4233,train,non_ade
ade_00553,test_2003,train,non_ade
ade_00554,train_10346,test,non_ade
ade_00555,train_950,train,ade
ade_00556,train_13308,train,non_ade
ade_00557,train_7270,train,non_ade
ade_00558,test_1058,train,ade
ade_00559,train_486,train,ade
ade_00560,train_11578,train,ade
ade_00561,test_1988,train,non_ade
ade_00562,train_6353,test,non_ade
ade_00563,train_2455,test,ade
ade_00564,train_7740,test,non_ade
ade_00565,train_16502,train,non_ade
ade_00566,train_5985,train,ade
ade_00567,train_11238,train,non_ade
ade_00568,train_863,train,non_ade
ade_00569,train_1906,test,non_ade
ade_00570,train_3118,train,non_ade
ade_00571,train_11087,train,non_ade
ade_00572,test_2346,train,non_ade
ade_00573,train_11610,train,ade
ade_00574,train_14272,train,non_ade
ade_00575,train_4012,train,non_ade
ade_00576,train_8872,train,non_ade
ade_00577,train_12801,train,non_ade
ade_00578,train_10634,train,non_ade
ade_00579,train_8920,train,non_ade
ade_00580,train_5410,train,non_ade
ade_00581,test_1564,train,non_ade
ade_00582,train_3076,train,non_ade
ade_00583,train_5029,train,ade
ade_00584,train_12673,train,non_ade
ade_00585,train_960,train,ade
ade_00586,train_3242,train,non_ade
ade_00587,test_2865,test,non_ade
ade_00588,train_738,train,ade
ade_00589,train_4175,train,non_ade
ade_00590,train_9802,train,non_ade
ade_00591,train_1794,train,non_ade
ade_00592,test_1652,train,ade
ade_00593,train_10836,test,non_ade
ade_00594,train_1184,train,ade
ade_00595,train_8292,train,non_ade
ade_00596,train_13388,train,non_ade
ade_00597,train_4803,test,non_ade
ade_00598,train_15743,train,non_ade
ade_00599,test_4205,test,ade
ade_00600,train_9809,test,non_ade
ade_00601,train_6223,train,non_ade
ade_00602,train_9250,train,ade
ade_00603,test_5775,train,non_ade
ade_00604,train_16738,train,non_ade
ade_00605,train_8676,test,non_ade
ade_00606,train_15689,train,non_ade
ade_00607,train_10612,train,ade
ade_00608,train_7981,train,ade
ade_00609,train_44,test,ade
ade_00610,train_11568,train,non_ade
ade_00611,train_15956,train,non_ade
ade_00612,test_5787,test,non_ade
ade_00613,train_14384,train,non_ade
ade_00614,test_59,train,non_ade
ade_00615,test_530,train,non_ade
ade_00616,test_2000,train,ade
ade_00617,train_2083,train,non_ade
ade_00618,train_4640,train,non_ade
ade_00619,train_13640,train,non_ade
ade_00620,test_2541,train,ade
ade_00621,train_7929,test,non_ade
ade_00622,train_2001,train,non_ade
ade_00623,train_6255,train,non_ade
ade_00624,train_9316,train,non_ade
ade_00625,train_14992,train,non_ade
ade_00626,train_534,train,non_ade
ade_00627,train_13544,train,non_ade
ade_00628,train_12195,train,ade
ade_00629,test_4279,train,non_ade
ade_00630,test_5440,train,non_ade
ade_00631,train_6349,train,non_ade
ade_00632,train_2888,train,ade
ade_00633,test_2973,train,non_ade
ade_00634,train_12769,train,non_ade
ade_00635,train_17214,test,ade
ade_00636,test_3349,train,ade
ade_00637,train_407,train,non_ade
ade_00638,train_4106,train,non_ade
ade_00639,train_5526,train,non_ade
ade_00640,train_9980,train,ade
ade_00641,train_8268,train,non_ade
ade_00642,train_4080,train,non_ade
ade_00643,train_5386,train,non_ade
ade_00644,train_8337,test,non_ade
ade_00645,train_2077,test,non_ade
ade_00646,train_2243,train,non_ade
ade_00647,test_5093,train,non_ade
ade_00648,train_15007,train,non_ade
ade_00649,train_7751,train,non_ade
ade_00650,train_10140,train,ade
ade_00651,train_15493,train,ade
ade_00652,train_16164,train,non_ade
ade_00653,train_1922,train,non_ade
ade_00654,train_13686,test,non_ade
ade_00655,train_14203,test,ade
ade_00656,test_2626,train,non_ade
ade_00657,test_2824,train,non_ade
ade_00658,train_434,train,ade
ade_00659,train_12053,test,non_ade
ade_00660,train_17535,train,ade
ade_00661,train_6628,train,non_ade
ade_00662,test_961,train,non_ade
ade_00663,train_7272,train,non_ade
ade_00664,train_2999,test,non_ade
ade_00665,train_17103,train,non_ade
ade_00666,train_15971,train,non_ade
ade_00667,train_10328,train,non_ade
ade_00668,train_14416,train,non_ade
ade_00669,train_1693,test,non_ade
ade_00670,train_10763,train,ade
ade_00671,train_8532,train,ade
ade_00672,train_7998,test,non_ade
ade_00673,train_5906,train,ade
ade_00674,train_7128,test,non_ade
ade_00675,train_14682,test,non_ade
ade_00676,train_15845,train,non_ade
ade_00677,train_2392,test,ade
ade_00678,train_13264,train,non_ade
ade_00679,train_11085,test,non_ade
ade_00680,train_16342,test,non_ade
ade_00681,train_17290,train,non_ade
ade_00682,train_3644,test,non_ade
ade_00683,train_11028,train,non_ade
ade_00684,train_10198,train,non_ade
ade_00685,train_8901,train,non_ade
ade_00686,test_4641,train,non_ade
ade_00687,test_1009,train,ade
ade_00688,test_4808,train,non_ade
ade_00689,train_13901,train,non_ade
ade_00690,train_400,train,ade
ade_00691,test_4890,test,non_ade
ade_00692,train_7363,train,non_ade
ade_00693,train_4003,train,non_ade
ade_00694,train_14902,test,non_ade
ade_00695,train_9153,train,non_ade
ade_00696,test_3261,test,non_ade
ade_00697,train_10773,train,non_ade
ade_00698,test_3369,train,ade
ade_00699,train_14689,test,non_ade
ade_00700,train_16728,train,non_ade
ade_00701,train_5448,train,non_ade
ade_00702,train_16394,test,non_ade
ade_00703,test_1253,train,non_ade
ade_00704,train_13559,train,non_ade
ade_00705,train_13418,train,non_ade
ade_00706,train_10341,test,non_ade
ade_00707,train_5876,test,non_ade
ade_00708,train_14468,train,non_ade
ade_00709,train_16244,train,non_ade
ade_00710,test_1686,train,non_ade
ade_00711,train_11773,train,non_ade
ade_00712,test_1773,train,non_ade
ade_00713,train_17128,train,non_ade
ade_00714,train_4903,test,ade
ade_00715,train_11288,train,non_ade
ade_00716,train_7115,test,non_ade
ade_00717,train_10939,train,ade
ade_00718,train_2132,test,non_ade
ade_00719,train_586,train,non_ade
ade_00720,train_16630,train,non_ade
ade_00721,train_1669,train,non_ade
ade_00722,train_13303,train,non_ade
ade_00723,train_2019,train,non_ade
ade_00724,test_3225,train,non_ade
ade_00725,train_5031,train,ade
ade_00726,train_2330,train,ade
ade_00727,train_6326,test,non_ade
ade_00728,train_4905,train,non_ade
ade_00729,test_4698,train,non_ade
ade_00730,train_7301,train,non_ade
ade_00731,train_14785,train,non_ade
ade_00732,test_2752,train,non_ade
ade_00733,train_4344,train,non_ade
ade_00734,test_4127,train,ade
ade_00735,train_14915,test,non_ade
ade_00736,train_10473,test,non_ade
ade_00737,train_16171,train,non_ade
ade_00738,train_14927,train,non_ade
ade_00739,train_6829,train,non_ade
ade_00740,train_3279,test,ade
ade_00741,test_1229,train,ade
ade_00742,train_1079,train,non_ade
ade_00743,train_4850,test,ade
ade_00744,test_965,test,non_ade
ade_00745,train_3997,train,non_ade
ade_00746,train_16579,train,non_ade
ade_00747,train_767,train,non_ade
ade_00748,train_432,train,non_ade
ade_00749,train_12392,test,non_ade
ade_00750,test_5594,train,non_ade
ade_00751,train_15363,train,non_ade
ade_00752,train_16275,test,ade
ade_00753,train_748,train,ade
ade_00754,train_15212,train,ade
ade_00755,train_13103,train,ade
ade_00756,train_16643,train,non_ade
ade_00757,train_688,train,non_ade
ade_00758,train_2384,train,non_ade
ade_00759,train_3233,train,non_ade
ade_00760,train_14624,train,non_ade
ade_00761,train_568,train,non_ade
ade_00762,train_2862,train,ade
ade_00763,test_5527,train,non_ade
ade_00764,train_13153,test,non_ade
ade_00765,train_4374,train,non_ade
ade_00766,train_13919,train,non_ade
ade_00767,test_2927,test,ade
ade_00768,train_6546,train,non_ade
ade_00769,train_1000,train,non_ade
ade_00770,train_17536,test,non_ade
ade_00771,train_4698,train,non_ade
ade_00772,train_13486,train,ade
ade_00773,test_441,train,ade
ade_00774,train_11285,train,non_ade
ade_00775,train_2188,train,non_ade
ade_00776,train_897,test,non_ade
ade_00777,train_408,train,ade
ade_00778,train_11888,test,non_ade
ade_00779,train_11299,test,non_ade
ade_00780,train_3204,test,ade
ade_00781,train_9918,train,non_ade
ade_00782,train_6021,train,ade
ade_00783,train_8889,train,non_ade
ade_00784,train_15441,train,ade
ade_00785,train_8291,test,non_ade
ade_00786,train_15317,test,non_ade
ade_00787,test_4457,train,non_ade
ade_00788,train_5883,train,ade
ade_00789,train_2210,train,non_ade
ade_00790,test_4667,train,ade
ade_00791,train_8117,train,non_ade
ade_00792,train_3596,train,non_ade
ade_00793,train_3754,train,non_ade
ade_00794,train_4660,train,non_ade
ade_00795,train_7170,train,non_ade
ade_00796,train_15388,train,non_ade
ade_00797,train_13494,train,non_ade
ade_00798,test_2623,train,ade
